,original,qiskit,qiskittime,tket,tkettime,parity,paritytime,annealer,annealertime,parityRTannealer,parityRTannealertime,parityRT,parityRTtime,ngadgets,device,nqubits
0,32,31,0.07189100000005055,27,0.6884640000000672,32,0.10736999999994623,34,0.015385000000151194,32,2.5418710000001283,32,1.0716519999998582,1,Singapore,20
1,30,30,0.06109199999991688,26,0.6550320000001193,30,0.08898399999998219,30,0.014561999999841646,32,2.0088389999998526,30,0.890203000000156,1,Singapore,20
2,40,40,0.06738100000006852,27,0.5080319999999574,40,0.12576100000001134,40,0.013862999999901149,38,2.6547199999999975,40,1.2718780000000152,1,Singapore,20
3,38,38,0.05121499999995649,28,0.6465589999997974,38,0.10255899999992835,34,0.016000999999960186,34,2.2845740000000205,36,1.02101800000014,1,Singapore,20
4,38,38,0.07059599999979582,34,0.8613029999999071,38,0.16776400000003377,38,0.01876100000004044,38,3.5852390000000014,38,1.666388999999981,1,Singapore,20
5,0,0,0.007018999999900188,0,0.016176999999970576,0,0.00599899999997433,2,0.006440000000111468,0,0.19621300000017072,0,0.059669999999869106,1,Singapore,20
6,34,33,0.05771499999991647,33,0.765243000000055,34,0.1442500000000564,34,0.01591399999983878,34,3.2390220000002046,34,1.4232469999999466,1,Singapore,20
7,28,28,0.04977000000008047,16,0.38681100000007973,40,0.028313000000025568,30,0.008702999999968597,22,0.8365900000001147,40,0.28098399999998946,1,Singapore,20
8,38,38,0.06345899999996618,34,0.7780990000001111,38,0.1656749999999647,38,0.0205670000000282,36,3.2706960000000436,37,1.6583000000000538,1,Singapore,20
9,24,24,0.04667499999982283,20,0.37178100000005543,24,0.04807400000004236,24,0.010943999999881271,26,1.1256169999999202,24,0.4809660000000804,1,Singapore,20
10,34,34,0.05106000000000677,30,0.6737960000000385,34,0.125056000000086,34,0.015822999999954845,32,2.6928640000000996,33,1.2366799999999785,1,Singapore,20
11,34,34,0.06643099999996593,22,0.5721740000001319,34,0.08633800000006886,34,0.012173000000075263,28,2.0263280000001487,31,0.8526090000000295,1,Singapore,20
12,38,38,0.08060599999998885,38,0.8615259999999125,38,0.19093799999996008,38,0.020373999999947046,38,3.6600760000001173,38,1.9175780000000486,1,Singapore,20
13,36,35,0.06920400000012705,31,0.689965999999913,36,0.14406999999982872,42,0.01795599999991282,38,3.1494299999999384,35,1.448812000000089,1,Singapore,20
14,0,0,0.006913000000167813,0,0.023700999999846317,0,0.0059819999999035645,0,0.006333999999924345,6,0.20728299999996125,0,0.059128999999984444,1,Singapore,20
15,22,22,0.04543100000000777,14,0.3204550000000381,22,0.03364899999996851,24,0.009997999999995955,26,0.8685850000001665,22,0.32047000000011394,1,Singapore,20
16,40,39,0.06650200000012774,22,0.4824509999998554,40,0.11375399999997171,42,0.0149140000000898,34,2.3792379999999866,40,1.0757160000000567,1,Singapore,20
17,0,0,0.00733700000000681,0,0.0221520000000055,0,0.006474000000025626,2,0.007718000000068059,7,0.23077299999999923,0,0.06535699999994904,1,Singapore,20
18,38,37,0.07380600000010418,37,0.8822179999999662,38,0.1915080000001126,38,0.023277999999891108,38,3.938658999999916,38,1.9311259999999493,1,Singapore,20
19,38,38,0.06659799999988536,24,0.5720800000001418,40,0.0900650000000951,38,0.01551200000017161,32,2.4372769999999946,38,0.9002829999999449,1,Singapore,20
20,40,39,0.07453699999996388,38,0.8608959999999115,40,0.19142699999997603,40,0.01720100000011371,44,4.075048000000152,40,1.9618720000000849,1,Singapore,20
21,36,36,0.07576600000015787,28,0.5859889999999268,36,0.12386600000013459,36,0.015842000000020562,34,2.851957000000084,34,1.2368340000000444,1,Singapore,20
22,16,16,0.036448000000063985,8,0.18092000000001462,16,0.01477100000010978,16,0.006607000000030894,18,0.49234100000012404,16,0.17666299999996227,1,Singapore,20
23,36,35,0.07021400000007816,35,0.7940570000000662,36,0.16901400000006106,36,0.020586999999977706,36,3.3695670000001883,36,1.68329000000017,1,Singapore,20
24,36,36,0.0641689999999926,32,0.5929329999999027,40,0.09223999999994703,38,0.014701999999942927,36,2.35602700000004,36,0.9325180000000728,1,Singapore,20
25,38,37,0.06734000000005835,28,0.6295640000000731,38,0.12379299999997784,38,0.016427000000021508,34,2.701435000000174,38,1.3171310000000176,1,Singapore,20
26,36,35,0.06412700000009863,19,0.388349000000062,42,0.05122699999992619,38,0.011876999999913096,40,1.36854500000004,42,0.49768300000005183,1,Singapore,20
27,32,32,0.060649000000012165,11,0.21641199999999117,38,0.04544799999985116,34,0.009156999999959226,38,1.175273000000061,36,0.4131800000000112,1,Singapore,20
28,24,24,0.042948999999907755,10,0.21184599999992315,34,0.020301000000017666,26,0.008546999999907712,36,0.6126200000001063,34,0.18576699999994162,1,Singapore,20
29,32,31,0.06594199999994999,26,0.4923940000001039,32,0.0858459999999468,32,0.011371000000053755,32,1.8328539999999975,31,0.8595510000000104,1,Singapore,20
30,0,0,0.0077519999999822176,0,0.028051000000004933,0,0.007180999999945925,8,0.00836999999978616,0,0.22401300000001356,0,0.07222400000000562,1,Singapore,20
31,38,38,0.08053100000006452,38,0.8530720000001111,38,0.19156600000019353,38,0.017837999999983367,38,3.923520000000053,38,1.9257250000000568,1,Singapore,20
32,28,28,0.05187500000010914,27,0.5038340000000971,28,0.07278900000005706,32,0.014854000000013912,30,1.9309480000001713,28,0.7407000000000608,1,Singapore,20
33,38,38,0.06971099999987018,20,0.40364999999997053,44,0.08043099999986225,36,0.01174799999989773,36,1.8788449999999557,44,0.775751999999784,1,Singapore,20
34,34,34,0.055506999999806794,15,0.3133510000000115,42,0.041490000000067084,36,0.011166000000002896,28,1.077726999999868,36,0.4018020000000888,1,Singapore,20
35,38,37,0.06490899999994326,29,0.6758150000000569,38,0.14363600000001497,38,0.013299000000188244,36,3.2771529999999984,37,1.4440660000000207,1,Singapore,20
36,36,35,0.07554800000002615,35,0.7943410000000313,36,0.16913099999987935,38,0.014996999999993932,36,3.2352820000000975,36,1.6805010000000493,1,Singapore,20
37,28,28,0.05985899999996036,23,0.4400120000000243,28,0.0613389999998617,28,0.012761999999838736,26,1.5370029999999133,27,0.6046080000000984,1,Singapore,20
